Execution Number,Crime Type,Sentiment Score,Cluster Label
398,,0.9618,"1 (drug, burglary, fraud)"
399,,0.8555,"1 (drug, burglary, fraud)"
4,,0.9442,"1 (drug, burglary, fraud)"
40,,0.0,"1 (drug, burglary, fraud)"
400,assault,0.9792,4 (assault)
401,,0.9657,"1 (drug, burglary, fraud)"
402,,0.9794,"1 (drug, burglary, fraud)"
403,,0.9943,"1 (drug, burglary, fraud)"
404,assault,0.0,4 (assault)
406,,0.9096,"1 (drug, burglary, fraud)"
407,assault,0.9484,4 (assault)
408,,0.0,"1 (drug, burglary, fraud)"
409,,0.5994,"1 (drug, burglary, fraud)"
41,,0.7269,"1 (drug, burglary, fraud)"
411,,0.9349,"1 (drug, burglary, fraud)"
412,murder,0.8176,2 (murder)
416,,0.9895,"1 (drug, burglary, fraud)"
417,assault,0.9952,4 (assault)
418,,0.0,"1 (drug, burglary, fraud)"
419,,-0.8176,"1 (drug, burglary, fraud)"
42,,0.0,"1 (drug, burglary, fraud)"
420,,0.9802,"1 (drug, burglary, fraud)"
421,,0.9955,"1 (drug, burglary, fraud)"
422,,0.9909,"1 (drug, burglary, fraud)"
426,,0.9118,"1 (drug, burglary, fraud)"
428,,0.9657,"1 (drug, burglary, fraud)"
43,,0.0,"1 (drug, burglary, fraud)"
430,,-0.296,"1 (drug, burglary, fraud)"
431,assault,-0.9863,4 (assault)
432,,0.9753,"1 (drug, burglary, fraud)"
433,,0.9602,"1 (drug, burglary, fraud)"
434,,0.9874,"1 (drug, burglary, fraud)"
435,,0.975,"1 (drug, burglary, fraud)"
436,murder,0.8271,2 (murder)
437,burglary,0.7753,"1 (drug, burglary, fraud)"
439,,0.1531,"1 (drug, burglary, fraud)"
44,,0.0,"1 (drug, burglary, fraud)"
440,murder,0.9928,2 (murder)
441,,0.8311,"1 (drug, burglary, fraud)"
442,murder,0.7167,2 (murder)
443,,0.8623,"1 (drug, burglary, fraud)"
444,,0.9969,"1 (drug, burglary, fraud)"
446,,0.9947,"1 (drug, burglary, fraud)"
447,,0.3612,"1 (drug, burglary, fraud)"
448,assault,0.0,4 (assault)
449,murder,0.644,2 (murder)
45,,0.8462,"1 (drug, burglary, fraud)"
450,,0.9488,"1 (drug, burglary, fraud)"
451,assault,0.9856,4 (assault)
453,murder,0.3182,2 (murder)
454,assault,0.0,4 (assault)
459,,0.9895,"1 (drug, burglary, fraud)"
46,,0.0,"1 (drug, burglary, fraud)"
460,,0.0,"1 (drug, burglary, fraud)"
461,,0.9062,"1 (drug, burglary, fraud)"
462,,-0.296,"1 (drug, burglary, fraud)"
464,,0.4215,"1 (drug, burglary, fraud)"
466,,0.0,"1 (drug, burglary, fraud)"
467,,0.9826,"1 (drug, burglary, fraud)"
468,assault,0.932,4 (assault)
469,,0.7272,"1 (drug, burglary, fraud)"
47,,0.0,"1 (drug, burglary, fraud)"
471,drug,0.9686,"1 (drug, burglary, fraud)"
472,,0.9844,"1 (drug, burglary, fraud)"
475,,-0.296,"1 (drug, burglary, fraud)"
477,murder,0.9942,2 (murder)
479,assault,0.9984,4 (assault)
48,,0.4404,"1 (drug, burglary, fraud)"
481,murder,0.9743,2 (murder)
483,assault,0.9403,4 (assault)
484,,0.9877,"1 (drug, burglary, fraud)"
485,,0.9504,"1 (drug, burglary, fraud)"
487,assault,-0.8343,4 (assault)
488,assault,0.9985,4 (assault)
489,,0.9909,"1 (drug, burglary, fraud)"
49,,0.8555,"1 (drug, burglary, fraud)"
491,burglary,0.8798,"1 (drug, burglary, fraud)"
493,,0.9828,"1 (drug, burglary, fraud)"
494,,0.9952,"1 (drug, burglary, fraud)"
497,assault,0.9313,4 (assault)
5,,0.8316,"1 (drug, burglary, fraud)"
50,,0.0,"1 (drug, burglary, fraud)"
503,,-0.8225,"1 (drug, burglary, fraud)"
508,,0.9141,"1 (drug, burglary, fraud)"
509,,0.0,"1 (drug, burglary, fraud)"
51,,0.0,"1 (drug, burglary, fraud)"
510,,0.0,"1 (drug, burglary, fraud)"
511,murder,0.9988,2 (murder)
512,robbery,0.0,3 (robbery)
513,,0.0,"1 (drug, burglary, fraud)"
516,,0.9862,"1 (drug, burglary, fraud)"
517,,0.9956,"1 (drug, burglary, fraud)"
519,,0.4588,"1 (drug, burglary, fraud)"
52,,0.0,"1 (drug, burglary, fraud)"
520,,0.99,"1 (drug, burglary, fraud)"
524,,0.9729,"1 (drug, burglary, fraud)"
525,,0.3612,"1 (drug, burglary, fraud)"
527,,0.9719,"1 (drug, burglary, fraud)"
529,,0.9787,"1 (drug, burglary, fraud)"
53,,0.0,"1 (drug, burglary, fraud)"
530,,0.9692,"1 (drug, burglary, fraud)"
531,,0.9761,"1 (drug, burglary, fraud)"
532,,0.9652,"1 (drug, burglary, fraud)"
534,assault,0.9081,4 (assault)
535,,0.9091,"1 (drug, burglary, fraud)"
536,,0.9992,"1 (drug, burglary, fraud)"
537,,0.9432,"1 (drug, burglary, fraud)"
538,murder,0.0,2 (murder)
539,,0.0,"1 (drug, burglary, fraud)"
54,,0.0,"1 (drug, burglary, fraud)"
542,,0.7348,"1 (drug, burglary, fraud)"
543,,0.8541,"1 (drug, burglary, fraud)"
544,,0.4404,"1 (drug, burglary, fraud)"
546,murder,0.9747,2 (murder)
547,assault,0.992,4 (assault)
549,,0.646,"1 (drug, burglary, fraud)"
